0000082c,00000001,000ffffe,205019
00000840,00000011,00080330,205445
00000844,00000001,000ffffe,205906
0000084c,00000002,000ffffe,206146
00000854,00000011,00080485,206281
00000814,00000001,000ffffe,206565
00000870,00000007,00080406,206961
00000814,00000001,000ffffe,207422
00000884,00000001,000ffffe,207656
00000884,00000001,000ffffe,208013
0000084c,00000002,000ffffe,208193
00000874,00000001,000ffffe,208282
00000844,00000001,000ffffe,208599
00000874,00000001,000ffffe,208758
00000808,00000002,000ffffe,208839
00000844,00000001,000ffffe,209150
00000870,00000007,00080406,209552
00000840,00000011,00080341,210032
00000814,00000001,000ffffe,210523
00000810,0000000a,00080406,210786
00000834,00000002,000ffffe,211145
00000810,0000000a,00080406,211337
00000864,00000002,000ffffe,211661
00000844,00000001,000ffffe,212098
00000844,00000001,000ffffe,212557
00000884,00000001,000ffffe,212787
00000844,00000001,000ffffe,213142
00000880,00000001,000ffffe,213320
0000082c,00000001,000ffffe,213649
00000884,00000001,000ffffe,213814
0000087c,00000001,000ffffe,213897
00000834,00000002,000ffffe,213940
00000864,00000002,000ffffe,214201
00000840,00000011,00080351,214347
0000082c,00000001,000ffffe,214397
00000814,00000001,000ffffe,214702
00000814,00000001,000ffffe,214855
00000870,00000007,00080406,214938
