0000085c,00000011,00080485,179602
0000083c,00000002,000ffffe,179651
0000083c,00000002,000ffffe,179923
00000888,00000001,000ffffe,180330
00000888,00000001,000ffffe,180806
00000888,00000001,000ffffe,181316
00000808,00000001,000ffffe,181811
00000864,00000001,000ffffe,182059
00000864,00000001,000ffffe,182423
0000084c,00000001,000ffffe,182845
0000088c,00000001,000ffffe,183296
00000834,00000001,000ffffe,183522
00000808,00000001,000ffffe,183875
0000084c,00000001,000ffffe,184052
0000086c,00000002,000ffffe,184142
0000083c,00000002,000ffffe,184187
0000086c,00000002,000ffffe,184210
00000848,00000011,000802e2,184237
0000083c,00000002,000ffffe,184500
00000854,00000002,000ffffe,184911
00000864,00000001,000ffffe,185116
0000086c,00000002,000ffffe,185492
00000878,00000007,00080405,185685
00000848,00000011,000802e9,186029
0000087c,00000001,000ffffe,186452
00000878,00000007,00080405,186678
0000081c,00000001,000ffffe,187054
0000085c,00000011,00080484,187501
00000834,00000001,000ffffe,187701
00000864,00000001,000ffffe,188081
00000854,00000002,000ffffe,188512
00000834,00000001,000ffffe,188966
0000086c,00000002,000ffffe,189195
00000854,00000002,000ffffe,189549
00000808,00000001,000ffffe,189965
0000083c,00000002,000ffffe,190175
00000854,00000002,000ffffe,190280
00000864,00000001,000ffffe,190332
0000081c,00000001,000ffffe,190359
00000808,00000001,000ffffe,190373
00000808,00000001,000ffffe,190652
00000834,00000001,000ffffe,190792
00000848,00000011,000802fc,191150
0000084c,00000001,000ffffe,191577
00000854,00000002,000ffffe,191800
00000808,00000001,000ffffe,192182
0000083c,00000002,000ffffe,192375
0000086c,00000002,000ffffe,192711
0000085c,00000011,00080482,193166
00000864,00000001,000ffffe,193610
00000818,0000000a,00080405,194121
00000864,00000001,000ffffe,194603
00000810,00000002,000ffffe,194850
0000084c,00000001,000ffffe,195212
00000818,0000000a,00080405,195403
00000864,00000001,000ffffe,195725
00000848,00000011,0008030d,195907
00000848,00000011,0008030e,196230
00000888,00000001,000ffffe,196376
00000848,00000011,00080310,196713
00000884,00000001,000ffffe,196858
00000864,00000001,000ffffe,196939
00000808,00000001,000ffffe,196980
00000834,00000001,000ffffe,197001
00000888,00000001,000ffffe,197012
00000834,00000001,000ffffe,197018
0000084c,00000001,000ffffe,197293
0000085c,00000011,00080483,197447
00000864,00000001,000ffffe,197772
0000086c,00000002,000ffffe,197944
00000878,00000007,00080406,198035
00000834,00000001,000ffffe,198344
0000085c,00000011,00080487,198518
0000087c,00000001,000ffffe,198853
00000818,0000000a,00080406,199038
0000084c,00000001,000ffffe,199357
00000810,00000002,000ffffe,199794
00000808,00000001,000ffffe,200251
00000810,00000002,000ffffe,200753
00000884,00000001,000ffffe,201003
00000834,00000001,000ffffe,201129
00000810,00000002,000ffffe,201433
00000808,00000001,000ffffe,201584
00000854,00000002,000ffffe,201933
00000878,00000007,00080406,202384
0000085c,00000011,00080480,202857
0000081c,00000001,000ffffe,203073
00000818,0000000a,00080406,203438
00000878,00000007,00080406,203853
00000818,0000000a,00080406,204305
00000848,00000011,0008032d,204537
00000808,00000001,000ffffe,204634
00000848,00000011,0008032d,204707
0000089c,00000001,000ffffe,204720
00000808,00000001,000ffffe,204743
0000085c,00000011,00080480,204751
00000834,00000001,000ffffe,205019
00000848,00000011,00080330,205445
0000084c,00000001,000ffffe,205906
00000854,00000002,000ffffe,206146
0000085c,00000011,00080485,206281
0000081c,00000001,000ffffe,206565
00000878,00000007,00080406,206961
0000081c,00000001,000ffffe,207422
0000088c,00000001,000ffffe,207656
0000088c,00000001,000ffffe,208013
00000854,00000002,000ffffe,208193
0000087c,00000001,000ffffe,208282
0000084c,00000001,000ffffe,208599
0000087c,00000001,000ffffe,208758
00000810,00000002,000ffffe,208839
0000084c,00000001,000ffffe,209150
00000878,00000007,00080406,209552
00000848,00000011,00080341,210032
0000081c,00000001,000ffffe,210523
00000818,0000000a,00080406,210786
0000083c,00000002,000ffffe,211145
00000818,0000000a,00080406,211337
0000086c,00000002,000ffffe,211661
0000084c,00000001,000ffffe,212098
0000084c,00000001,000ffffe,212557
0000088c,00000001,000ffffe,212787
0000084c,00000001,000ffffe,213142
00000888,00000001,000ffffe,213320
00000834,00000001,000ffffe,213649
0000088c,00000001,000ffffe,213814
00000884,00000001,000ffffe,213897
